algorithm,timelimit_ms,avg_time_per_test_ms,pallet_length,pallet_width,score_normalization_height,available_rotations,score_percolation_mult,score_min_support_ratio_mult,score_center_of_mass_z_mult,pallets_computed_min,pallets_computed_ci_low,pallets_computed_avg,pallets_computed_ci_high,pallets_computed_max,percolation_min,percolation_ci_low,percolation_avg,percolation_ci_high,percolation_max,min_support_ratio_min,min_support_ratio_ci_low,min_support_ratio_avg,min_support_ratio_ci_high,min_support_ratio_max,height_min,height_ci_low,height_avg,height_ci_high,height_max,com_z_rel_min,com_z_rel_ci_low,com_z_rel_avg,com_z_rel_ci_high,com_z_rel_max
LNSSolver,5000,5004.9,1200,800,2200,2,1.0,0.0,0.0,46.0000,211.0000,1307.8050,3987.0000,25601.0000,0.6727,0.6995,0.7372,0.7974,0.8550,0.0000,0.0011,0.0480,0.1999,0.9765,346.0,841.0,2302.6,4373.0,8657.0,0.4090,0.4646,0.5215,0.5624,0.6021
LNSSolver,5000,5005.3,1200,800,2200,2,1.0,1.0,0.0,46.0000,210.0000,1562.5413,5448.0000,30146.0000,0.4311,0.5439,0.6608,0.7626,0.8420,0.3341,0.4220,0.6126,0.9062,1.0000,346.0,917.0,2625.3,5386.0,9889.0,0.3820,0.4310,0.5023,0.5565,0.5882
LNSSolver,5000,5005.5,1200,800,2200,2,2.0,1.0,0.0,46.0000,219.0000,1499.9679,5067.0000,28552.0000,0.4689,0.6118,0.6875,0.7674,0.8449,0.1785,0.3199,0.5180,0.8566,1.0000,346.0,869.0,2495.3,4778.0,9889.0,0.3705,0.4394,0.5093,0.5582,0.5847
LNSSolver,5000,5005.4,1200,800,2200,2,3.0,1.0,0.0,46.0000,214.0000,1450.9427,4809.0000,28835.0000,0.5607,0.6374,0.6995,0.7608,0.8737,0.0020,0.1720,0.4347,0.7895,1.0000,346.0,870.0,2436.0,4531.0,9036.0,0.3859,0.4467,0.5115,0.5586,0.5873
LNSSolver,5000,5005.0,1200,800,2200,2,1.0,2.0,0.0,46.0000,208.0000,1602.8303,5096.0000,29066.0000,0.2671,0.5177,0.6388,0.7436,0.8449,0.3341,0.5098,0.6565,0.9448,1.0000,412.0,934.0,2763.9,5915.0,13161.0,0.3369,0.4216,0.4971,0.5539,0.5956
LNSSolver,5000,5005.2,1200,800,2200,2,1.0,3.0,0.0,46.0000,215.0000,1615.6972,5222.0000,29622.0000,0.2671,0.4923,0.6249,0.7376,0.8449,0.3338,0.5124,0.6698,0.9483,1.0000,412.0,957.0,2827.1,6049.0,13161.0,0.3200,0.4190,0.4927,0.5504,0.5814
LNSSolver,5000,5005.7,1200,800,2200,2,3.0,2.0,0.0,46.0000,214.0000,1506.3028,5001.0000,27540.0000,0.3011,0.6111,0.6802,0.7587,0.8449,0.2551,0.3477,0.5548,0.8607,1.0000,346.0,879.0,2528.9,4816.0,13134.0,0.3999,0.4345,0.5065,0.5617,0.5802
LNSSolver,5000,5004.9,1200,800,2200,2,2.0,3.0,0.0,46.0000,209.0000,1591.6330,5542.0000,30258.0000,0.3142,0.5414,0.6452,0.7417,0.8420,0.3341,0.4982,0.6445,0.9198,1.0000,412.0,917.0,2712.5,5562.0,10138.0,0.3461,0.4239,0.4995,0.5551,0.5866
LNSSolver,5000,5005.2,1200,800,2200,2,0.0,1.0,0.0,52.0000,219.0000,1738.9725,5717.0000,32729.0000,0.1152,0.2419,0.4422,0.5657,0.6621,0.1632,0.5174,0.6879,0.9941,1.0000,546.0,1334.0,4143.4,8597.0,19883.0,0.2513,0.3102,0.4261,0.5290,0.6535
LNSSolver,5000,5014.5,1200,800,2200,6,1.0,0.0,0.0,14.0000,68.0000,449.9106,1441.0000,10292.0000,0.7372,0.7578,0.7843,0.8200,0.8842,0.0001,0.0018,0.0604,0.3225,0.9184,342.0,816.0,2150.0,3988.0,7896.0,0.4061,0.4651,0.5123,0.5517,0.5801
LNSSolver,5000,5013.8,1200,800,2200,6,1.0,1.0,0.0,14.0000,63.0000,507.5229,1561.0000,20895.0000,0.5178,0.6120,0.7030,0.7782,0.8616,0.0013,0.4386,0.7161,0.9600,1.0000,350.0,865.0,2426.0,4709.0,7896.0,0.3627,0.4194,0.4802,0.5306,0.5591
GreedySolver,5000,5.3,1200,800,2200,2,0.0,0.0,0.0,1.0000,1.0000,1.0000,1.0000,1.0000,0.5123,0.6061,0.6519,0.6977,0.8069,0.0000,0.0010,0.0244,0.0828,0.7255,436.0,1024.0,2562.0,4654.0,9040.0,0.3559,0.4552,0.5163,0.5572,0.5914